word1,word2
개시하다,종료하다
개식,폐식
개식하다,폐식하다
개신교도,구교도
개악되다,개선되다
개업,폐업
개업하다,폐업하다
개연하다,종연하다
개원,폐원
개은,함봉
개인전,단체전
개인주의,전체주의
개장일,폐장일
개전,종전
개전되다,종전되다
개점하다,폐점하다
개정,폐정
개정하다,폐정하다
개진당,사대당
개진당,사대수구당
개진당,수구당
개추,모추
개추,서릿가을
개추,심추
개추,추만
개털,범털
개통되다,불통되다
개평,세평
개피복,닫힌피복
개피복,폐피복
개항,폐구항
개형,폐형
개화파,수구파
개회로,닫힌회로
개회로,폐로
개회로,폐회로
개회사,폐회사
개회식,폐회식
개회하다,폐회하다
객관식,주관식
객관주의,주관주의
객관화,주관화
객승,방장
객승,방장화상
객승,상방
객승,정당
객승,주승
객승,주장승
객승,주직
객식구,원식구
객실,주실
객월,익월
객중,방장
객중,방장화상
객중,상방
객중,주승
객중,주장승
객중,주장중
객중,주직
객체,주체
객체계,현상세계
객체세,인세
객체세,주체세
갱내부,갱외부
갱외,갱내
거도,서적
거도,소도
거도,소모적
거도,소적
거도,의구
거도,초적
거도,소파
거듭제곱,거듭제곱근
거듭제곱,근
거듭제곱,누승근
거듭제곱,루트
거듭제곱,멱근
거듭제곱,승근
거듭제곱근,누승
거듭제곱근,멱
거듭제곱근,승멱
거방지다,체소하다
거사,근사녀
거사,신녀
거사,여거사
거사,우바니
거사,우바이
거사,청신녀
거센소리,무기음
거시,미시
거시형,미시형
거액,과액
거야,명야
거월,익월
거인,세인
거인,소인
거적,서적
거적,소도
거적,좀도둑
거절,승낙
거절하다,승낙하다
거짓,참
거짓상,실상
거짓상,실영상
건계,우계
건과자,생과자
건과자,진과자
건구,습구
건기,우계
건너가다,건너오다
건너따옴법,직접화법
건너오다,건너가다
건네주다,건네받다
건생,습생
건설되다,파괴되다
건설하다,파괴하다
건성쌓기,사춤쌓기
건성쌓기,찰쌓기
건성유,불건성유
건성유,불건유
건성유,비건성유
건식,습식
건어물남,건어물녀
건위,곤위
건조기,우계
건조기,우기
건초,생초
건초,생풀
건혜,놋신
건혜,유혜자
건혜,이혜
건혜,진신
건효,진안주
걸어가다,걸어오다
걸어오다,걸어가다
걸작품,태작
검년,강년
검다,희다
검둥이,흰둥이
검은건,백건
검은건,흰건
검은건,흰건반
검은건반,백건
검은건반,흰건
검은건반,흰건반
검은그루,흰그루
검은색,백색
검은색,흰색
검은자위,흰자위
검정색,백
겉,내리
겉,속
겉가량,속가량
겉가루,속가루
겉가마,속가마
겉가죽,내피
겉가죽,속가죽
겉감,내공
겉감,안감
겉감,안찝
겉겨,속겨
겉고름,안옷고름
겉고삿,속고삿
겉꺼풀,속꺼풀
겉다래끼,속다래끼
겉단,안단
겉단추,속단추
겉대,속대
겉대중,속대중
겉더께,속더께
겉도랑,속도랑
겉말,속말
겉면,내면
겉면,안면
겉버선,속버선
겉벌,속벌
겉봉투,안봉투
겉소매,안소매
겉싸개,속싸개
겉씨식물,속씨식물
