고단하다,피곤하다,,,,,,,,
고발,고소,,,,,,,,
고향,향토,,,,,,,,
곤란,곤경,,,,,,,,
공기,대기,,,,,,,,
공손,겸손,,,,,,,,
관계,상관,,,,,,,,
관계,관련,,,,,,,,
교외,야외,,,,,,,,
교회,예배당,,,,,,,,
국가,나라,,,,,,,,
국민,백성,,,,,,,,
군사,군인,,,,,,,,
군사,명사,,,,,,,,
궁리,연구,,,,,,,,
권력,권세,,,,,,,,
귀중,소중,,,,,,,,
그늘,응달,,,,,,,,
극히,매우,,,,,,,,
극히,대단히,,,,,,,,
금년,올해,,,,,,,,
기금,자금,,,,,,,,
원기,"기력,기운",,,,,,,,
기상,기백,,,,,,,,
기상,의기,,,,,,,,
기운,힘,,,,,,,,
기운,기력,,,,,,,,
기호,부호,,,,,,,,
낌새,조짐,,,,,,,,
간단,간결,,,,,,,,
간섭,참견,,,,,,,,
간직하다,간수하다,,,,,,,,
간편하다,간단하다,,,,,,,,
간혹,혹간,,,,,,,,
감당,감내,,,,,,,,
감사,고마움,,,,,,,,
감흥,흥취,,,,,,,,
갑자기,별안간,,,,,,,,
강산,강토,,,,,,,,
강조,역설,,,,,,,,
개선,개량,,,,,,,,
개척,개간,,,,,,,,
개천,개울,,,,,,,,
거저,공짜,,,,,,,,
걱정,근심,,,,,,,,
건설,건립,,,,,,,,
결과,성과,,,,,,,,
결과,결말,,,,,,,,
결정,작정,,,,,,,,
결정,확정,,,,,,,,
경영,운영,,,,,,,,
경치,경관,,,,,,,,
경치,풍경,,,,,,,,
고국,본국,,,,,,,,
고국,조국,,,,,,,,
고생,고난,,,,,,,,
곡물,곡식,,,,,,,,
곧잘,제법,,,,,,,,
공로,공적,,,,,,,,
공포,선포,,,,,,,,
광고,선전,,,,,,,,
괴상,기이,,,,,,,,
괴상,이상,,,,,,,,
구별,분별,,,,,,,,
구별,차별,,,,,,,,
국외,해외,,,,,,,,
군중,대중,,,,,,,,
군함,전함,,,,,,,,
궁전,궁궐,,,,,,,,
귀국,환국,,,,,,,,
규칙,규정,,,,,,,,
그러께,재작년,,,,,,,,
근래,근간,,,,,,,,
근처,근방,,,,,,,,
기갈,갈증,,,,,,,,
기능,기량,,,,,,,,
기로,갈림길,,,,,,,,
기부,기증,,,,,,,,
기색,안색,,,,,,,,
기세,형세,,,,,,,,
기이,기묘,,,,,,,,
기절,졸도,,,,,,,,
기절,실신,,,,,,,,
꽃밭,화단,,,,,,,,
끝없이,한없이,,,,,,,,
나라,국가,,,,,,,,
낙심,낙망,,,,,,,,
낙심,실망,,,,,,,,
낱낱이,일일이,,,,,,,,
내막,내용,,,,,,,,
노고,수고,,,,,,,,
노예,종,,,,,,,,
노예,노비,,,,,,,,
농사,농업,,,,,,,,
농장,농원,,,,,,,,
농촌,전원,,,,,,,,
눈부시다,휘황하다,,,,,,,,
나루터,도선장,,,,,,,,
낙원,천국,,,,,,,,
날래다,날쎄다,,,,,,,,
내년,명년,,,,,,,,
내부,내면,,,,,,,,
노래,가요,,,,,,,,
노인,늙은이,,,,,,,,
논의,의논,,,,,,,,
농부,농민,,,,,,,,
농부,농사꾼,,,,,,,,
누룽지,눌은밥,,,,,,,,
눈치,낌새,,,,,,,,
나이,연령,,,,,,,,
날다,날아가다,,,,,,,,
